故障项,故障模组,故障描述,处置方案,问题来源
智算机载荷,FPGA板卡,系统监控软件slave挂掉,系统监控软件master拉起系统监控软件slave,在轨运行
智算机载荷,FPGA板卡,系统信息采集返回异常,重新运行系统信息采集,在轨运行
智算机载荷,GPU板卡,CAN接口故障,"1.下电、上电
2.切换备用CAN口",在轨运行
智算机载荷,GPU板卡,以太网故障,"1.下电、上电
2.切换备用路由器",在轨运行
智算机载荷,GPU板卡,RS422接口故障,下电、上电,在轨运行
智算机载荷,GPU板卡,AD接口故障,下电、上电,在轨运行
智算机载荷,GPU板卡,温度异常,下电、上电,在轨运行
智算机载荷,GPU板卡,电压异常,下电、上电,在轨运行
智算机载荷,GPU板卡,电流异常,下电、上电,在轨运行
智算机载荷,GPU板卡,bootloader进不去,下电、上电,在轨运行
智算机载荷,GPU板卡,os进不去,"1.下电，上电
2.切换启动介质
3.恢复先前异常介质",在轨运行
智算机载荷,GPU板卡,从DFS读取配置文件失败,读取自带的系数文件。记录异常。,在轨运行
智算机载荷,GPU板卡,从DFS读取配置文件，格式异常,读取自带的系数文件。记录异常。,在轨运行
智算机载荷,GPU板卡,图像信息异常(通道，尺寸),忽略该图片的处理，通知上层,在轨运行
智算机载荷,GPU板卡,调用fpga切图接口异常,重启容器,在轨运行
智算机载荷,GPU板卡,调用武大波段配准，目标位置解算接口异常,忽略或者终止对该图片的处理，通知上层,在轨运行
智算机载荷,GPU板卡,调用L3数据融合接口超时,重试或跳过该图片出来，通知上层,在轨运行
智算机载荷,GPU板卡,L0-L4各级容器异常,kubeegde自动重启恢复,在轨运行
智算机载荷,GPU板卡,数传通信接口异常,重启数传进程或重新上下电,在轨运行
智算机载荷,GPU板卡,遥控遥测软件运行异常,重新上下电,在轨运行
智算机载荷,GPU板卡,被监控程序挂掉,系统监控软件重新拉起对应进程、超过重试阈值后从备份路径恢复程序副本,在轨运行
智算机载荷,GPU板卡,系统监控软件master挂掉,系统监控软件slave拉起系统监控软件master,在轨运行
智算机载荷,GPU板卡,系统监控软件slave挂掉,系统监控软件master拉起系统监控软件slave,在轨运行
智算机载荷,GPU板卡,系统信息采集返回异常,重新运行系统信息采集,在轨运行
智算机载荷,GPU板卡,fpga不可用,硬件控制进程执行重载fpga命令,在轨运行
智算机载荷,GPU板卡,从DFS读取任务状态status文件失败,地面通过web页面删除/pers/status目录下最新异常的status文件,在轨运行
智算机载荷,GPU板卡,算法容器中间件redis pod异常,"kubeedge自动重启redis,历史数据配置为持久化，不丢失数据，L0-L4 pod 自动重连并继续开展任务计算",在轨运行
智算机载荷,GPU板卡,系统软件中间件 redis异常,重启redis服务,在轨运行
智算机载荷,GPU板卡,/rs/ 路径下存在异常tar包,跳过有问题的tar包，在status文件中标记,在轨运行
智算机载荷,应用级,从DFS读取配置文件失败,读取自带的系数文件。记录异常。,在轨运行
智算机载荷,应用级,从DFS读取配置文件，格式异常,读取自带的系数文件。记录异常。,在轨运行
智算机载荷,应用级,图像信息异常(通道，尺寸),忽略该图片的处理，通知上层,在轨运行
智算机载荷,应用级,调用fpga切图接口异常,重启容器,在轨运行
智算机载荷,应用级,调用武大 波段配准，目标位置解算接口异常,忽略或者终止对该图片的处理，通知上层,在轨运行
智算机载荷,应用级,调用l3数据融合接口超时,重试或跳过该图片出来，通知上层,在轨运行
智算机载荷,应用级,L0-L4各级容器异常,kubeegde自动重启恢复,在轨运行
智算机载荷,应用级,数传通信接口异常,重启数传进程或重新上下电,在轨运行
智算机载荷,应用级,遥控遥测软件运行异常,重新上下电,在轨运行
智算机载荷,应用级,被监控程序挂掉,系统监控软件重新拉起对应进程、超过重试阈值后从备份路径恢复程序副本,在轨运行
智算机载荷,应用级,系统监控软件master挂掉,系统监控软件slave拉起系统监控软件master,在轨运行
智算机载荷,应用级,系统监控软件slave挂掉,系统监控软件master拉起系统监控软件slave,在轨运行
智算机载荷,应用级,系统信息采集返回异常,重新运行系统信息采集,在轨运行
智算机载荷,应用级,fpga不可用,硬件控制进程执行重载fpga命令,在轨运行
智算机载荷,应用级,从DFS读取任务状态status文件失败,地面通过web页面删除/pers/status目录下最新异常的status文件,在轨运行
智算机载荷,应用级,算法容器中间件redis pod异常,"kubeedge自动重启redis,历史数据配置为持久化，不丢失数据，L0-L4 pod 自动重连并继续开展任务计算",在轨运行
智算机载荷,应用级,/rs/ 路径下存在异常tar包,跳过有问题的tar包，在status文件中标记,在轨运行
智算机载荷,应用级,计算引擎2期4pod运行过程中pod自动重启，增加运行时间，但不影响最终结果,暂不做处理，待后续业务测试时观察复现,历史测试
智算机载荷,应用级,智算进开机自动进bios,cpld拉高电平屏蔽,历史测试
智算机载荷,应用级,智算掉盘问题。各类测试中，nx1 103、nx1 107、nx1 109、g1 101、g1 107四五台有过掉盘记录。,"1.硬件：nx1 103、nx1 109做整改、nx1 107、g1 101、g1 109不交付。无掉盘单机交付。
2.软件：增加防护，掉盘也可以正常进系统做基础业务。",历史测试
智算机载荷,应用级,智算星6前期万兆网卡可找到，IP全无，link状态OK,重刷固件,历史测试
智算机载荷,应用级,智算星7低温算力测试自动重启,换备件上,历史测试
智算机载荷,应用级,07星智算机没固化就出厂了,07星连夜送回之江实验室，第二天早上由结构老师直接带过去进罐,历史测试
智算机载荷,应用级,05、06星智算机和从星综电打流速度问题,将综电到路由的临时网线换成电性件专用网线，问题解决,历史测试
智算机载荷,应用级,"1. 5星智算机高性能计算模块CAN总线错误针不为0；
2. 智算机预处理模块CAN总线正确针计数不为0",暂不影响功能、使用。,历史测试
智算机载荷,应用级,05星智算遥测数据处理CAN总线正确帧计数数值是1，正常值应是0,暂不影响功能、使用。,历史测试
智算机载荷,应用级,07星智算的数据预处理非重要项目里的当前使用网口编号有问题,后续继续观察,历史测试
智算机载荷,应用级,相机数据处理读取遥控指令执行，状态为未进行下载,09星力测结束后复测没有问题,历史测试
智算机载荷,应用级,"星11 计算引擎二期4pod运行报错
智算载荷业务模式下工作功耗较低，NX1-GPU功耗大约30W-40W，NX1-FPGA功耗22.4W，G1功耗大约30W-40W。R1功耗",主星现在按照两圈一平衡没有问题-周世亮回复,历史测试
智算机载荷,应用级,智算载荷强制待机瞬间引发CAN总线异常,无处置方式,历史测试
智算机载荷,应用级,02星智算遥控测试时再次引发CAN总线异常,综电发复位指令后解决,历史测试
智算机载荷,应用级,gpu强制待机后总线挂死,后续执行20次，均未复现。复位总线可以解决。,历史测试
智算机载荷,应用级,fpga强制待机后总线挂死,整个测试过程中，在发射场出现一次。复位总线可以解决。,历史测试
智算机载荷,智算机-路由接口,路由器切备用后智算机无法自适应，导致日志下载出错,适当间隔后操作即可解决,历史测试
智算机载荷,智算机-路由接口,在低温状态，星7路由与智算机的连通性可能有问题，路由日志拷贝到智算机和分布式目录均失败,在高温和后续的多轨低温下无法复现，后续观察,历史测试
智算机载荷,智算机-路由接口,路由主备切换后，智算机GPU千兆无法热切,智算机增加切换指令,历史测试
智算机载荷,算法应用层,主星01科学载荷任务过程中，生成显示2PB的db文件，导致文件系统异常,待进一步观察和复现,历史测试
智算机载荷,算法应用层,星10大模型运行没有结果,出罐后复测,历史测试
智算机载荷,算法应用层,大模型配置更新问题,无处置方式,历史测试
智算机载荷,系统级,bootloader进不去,下电，上电,在轨运行
智算机载荷,系统级,os进不去,下电，上电，多次重复启动无效后尝试切换启动介质，若新的启动介质可正常启动，可通过遥控主动恢复先前异常介质，详细参考用户手册,在轨运行
智算机载荷,遥控处置接口,CAN接口通信异常,"1.遥控指令下电，重新上电
2.发送遥控指令B开A关(切备)",在轨运行
智算机载荷,遥控处置接口,温度异常,遥控指令下电，重新上电,在轨运行
智算机载荷,遥控处置接口,电流异常,遥控指令下电，重新上电,在轨运行
智算机载荷,遥控处置接口,电压异常,遥控指令下电，重新上电,在轨运行
智算机载荷,遥控处置接口,RS422接口故障,遥控指令下电，重新上电,在轨运行
智算机载荷,遥控处置接口,以太网端口异常,"1.遥控指令下电，重新上电
2.发送遥控指令B开A关(切备)",在轨运行
智算机载荷,遥控处置接口,遥测遥控软件异常,遥控指令下电，重新上电,在轨运行
星载路由器,CPLD,电压异常,下电,在轨运行
星载路由器,CPLD,电流异常,下电,在轨运行
星载路由器,CPLD,CPU状态异常,重新上下电,在轨运行
星载路由器,FPGA板卡,CAN接口故障,"1.路由器重新上下电
2.切换备用CAN口",在轨运行
星载路由器,FPGA板卡,电压异常,路由器重新上下电,在轨运行
星载路由器,FPGA板卡,电流异常,路由器重新上下电,在轨运行
星载路由器,FPGA板卡,温度异常（过高或者过低）,路由器重新上下电,在轨运行
星载路由器,FPGA板卡,网口故障，非up状态,"1.通过遥控指令重新连接故障Ethernet接口，如果不行，实施步骤2
2.路由器重新上下电",在轨运行
星载路由器,FPGA板卡,RSS422接口故障,路由器重新上下电,在轨运行
星载路由器,FPGA板卡,AD接口故障,路由器重新上下电,在轨运行
星载路由器,FPGA板卡,自检异常,"1.软件复位；
2.如果复位3次后，仍然存在异常，则重新安装系统（从综电、智算机、路由器本地拉取镜像）；",在轨运行
星载路由器,FPGA板卡,等待8分钟后仍显示系统启动异常,"1.重新上下电
2.如果上下电后仍然不能恢复，则需要进入ONIE模式下重装操作系统",在轨运行
星载路由器,FPGA板卡,SONiC系统崩溃，无法登录,"1.遥控指令ONIE重装系统，如果还是不行，执行方案2
2.遥控指令切换备板",在轨运行
星载路由器,FPGA板卡,星内链路不通,"1.检查对应载荷的接口状态，并进行接口开断，如果无法恢复，则执行方案2
2.重新上下电，如果重新上下电后仍然无法恢复，则执行方案3
3.重装SONiC系统",在轨运行
星载路由器,ONIE模式,ONIE指令发送失败,同一个遥控指令多发几遍，直到遥测返回正确帧计数+1为止,在轨运行
星载路由器,ONIE模式,ONIE上从综电拷贝镜像异常,"1. 综电相关模块是否上电；
2. 在排除综电问题后，重启试一下看看网络能否恢复
3. 如果重启后，网络仍然异常，可能是配置的IP掉了，切换一下Flash再重启试试",在轨运行
星载路由器,SONiC系统,启动等待8分钟后仍显示系统启动异常,"1.重新上下电
2.如果上下电后仍然不能恢复，则需要进入ONIE模式下重装操作系统",在轨运行
星载路由器,SONiC系统,温度过高,下电,在轨运行
星载路由器,SONiC系统,温度过低,下电,在轨运行
星载路由器,SONiC系统,路由与连接的载荷接口状态一直为关闭状态,"1. 检查对应的载荷的状态，看一下载荷是否未开机
2. 如果载荷已开机，尝试用遥控指令启动接口
3.使用指令仍然启动失败，重启路由以及对应的载荷",在轨运行
星载路由器,SONiC系统,路由出现奇怪的异常状态,1.通过日志下传采集路由器的日志，由地面分析看能否排查问题,在轨运行
星载路由器,SONiC系统,执行Sonic系统安装失败,可能是镜像被粒子反转了，文件出现了损坏，从智算机智算机或者综电拷贝一份镜像，再尝试安装,在轨运行
星载路由器,SONiC系统,设备自检发现问题,"1.软件复位；
2.如果复位3次后，仍然存在异常，则重新安装系统（从综电、智算机、路由器本地拉取镜像）",在轨运行
星载路由器,SONiC系统,配置文件损坏,通过遥控指令重新加载备份配置文件进行恢复【对应遥控指令：星载路由CPU从备份1加载配置文件(SCSxx)】,在轨运行
星载路由器,SONiC系统,路由器系统崩溃，无法登录,"1. 遥控指令ONIE重装系统
2. 遥控指令切换备板",在轨运行
星载路由器,SONiC系统,路由板温、结温偶发性固定为35度,修改读取的逻辑，直接使用盛科底层命令读取,历史测试
星载路由器,SONiC系统,11星桌面联试时路由器异常掉电,从星继续观察,历史测试
星载路由器,SONiC系统,星5路由备内部数据库异常,"手动进行路由配置修改，此外可能导致测传一体机异常也需要进行相应修改；
以后需要注意，严谨在路由没有完成启动之前进行业务操作",历史测试
星载路由器,SONiC系统,因测试没有遵守路由提前上电的时序要求，路由可能存在静态arp不生效的情况,"一方面：需要严格遵守上电时序，路由提前8分钟开机（在测试阶段如不好控制，在路由开机前，请确保与路由连接的载荷的网口处于down状态）
另一方面：路由可以通过遥控指令进行修复（地面测试中可以通过星表登录到路由进行配置）",历史测试
星载路由器,SONiC系统,星地数据在路由未完成启动之前会导致路由静态ARP不生效,路由单独开启静态ARP生效，打开地面设备后静态ARP失效；严格按照开机时序，路由提前开机可以规避该问题,历史测试
星载路由器,SONiC系统,ONIE下测试发现遥控指令无法正常接收解析，导致ONIE无法更新系统,更新了所有星的ONIE程序,历史测试
星载路由器,SONiC系统,星1未接收到PPS,主星完成开发，测试后无问题,历史测试
星载路由器,SONiC系统,静态ARP有概率出现配置失败的情况,增加遥控指令，执行脚本，配置静态ARP，主星:K9602 从星:LY-K581,历史测试
星载路由器,SONiC系统,星8备份路由载荷与激光载荷接口Ethernet状态未打开,在后续的力学测试中显示状态正常,历史测试
星载路由器,SONiC系统,从星4星力学中测试，路由主备上电测传口均未开启,重新插拔后端口正常开启,历史测试
星载路由器,SONiC系统,LY-K447路由获取智算万兆网口数据指令执行异常（路由重启后恢复）,后续未复现,历史测试
星载路由器,SONiC系统,星2科学载荷对接测试，测传口数据双向联通后单链路arp只能维持20分钟,当前软件版本不支持，后续待需求方重新提交需求后开发,历史测试
星载路由器,SONiC系统,星4主份星载路由CPU通信跳变1次（数据长度错误）,后续未复现,历史测试
星载路由器,多星网络,星地不通，星间能通,"1.通过遥测数据检查容器状态、端口状态、端口计数是否正常
2.通过星间链路排查异常卫星的路由运行状态（比如：获取路由ARP信息）
3.如果遥测和自查都是正常的，由测传一体机和地面站排查故障",在轨运行
星载路由器,多星网络,星间不通，星地能通,"1. 通过遥测数据检查容器状态、端口状态、端口计数是否正常
2. 若激光或者微波端口UP且有计数增长，则由激光或微波定位问题
3. 否则通过星地链路查看路由器的运行状态（比如路由器的路由表和OSPF建链状态）",在轨运行
星载路由器,多星网络,星间、星地都不通,"1. 通过遥测数据检查容器状态、端口状态、端口计数是否正常
2. 若测穿计数正常增长，表示报文发出，由测传一体机和地面站排查问题
3. 若激光或者微波端口UP且有计数增长，则由激光或微波定位问题",在轨运行
星载路由器,多星网络,某颗星偏离轨道或失联,譬如连接关系由3-1-2-4变成3-1-4，其中2星丢失。则需要修改4星路由的微波和激光的后向端口IP，同时需要修改相邻星的静态路由，可以统一通过上注配置文件的方式进行修改（修改星1路由相关IP地址也可以）,在轨运行
星载路由器,多星网络,星4路由与微波连接端口显示down,微波线缆修改,历史测试
星载路由器,硬件接口,CAN与外部设备无法通信,切换到备用通信CANA/B,在轨运行
星载路由器,硬件接口,以太网接口与外部设备无法通信（处于down状态）,通过遥控指令重新连接故障Ethernet接口,在轨运行
星载路由器,线缆/接口,03、09、10、11、12星的电缆路由器插头线缆因屏蔽层导致插头连接器过长需要120mm以上的安装空间；目前从星约106mm的安装空间。,电缆组件路由端分叉位置后推，加长LY-ZLR1/X04端长度，同时ZLR1/X04端、LY-ZLR1/X07端屏蔽导线外护套剥皮180(+20.0)mm;导线屏蔽在连接器尾部长度缩短在10-20mm范围，与防波套、屏蔽进孔位导线用镀银铜丝捆扎挂锡搭接,历史测试
星载路由器,路由-综电接口,星1路由与综电不通，与工业相机不通,更新主星综电A53软件，主星工业相机确保连线正确,历史测试
星载路由器,路由-综电接口,从星卫星平台给路由发送指令，存在接收不到遥控指令的现象,重发指令,历史测试
星载路由器,遥控处置接口,CAN接口通信异常,"1.遥控指令下电，重新上电
2.发送遥控指令B开A关(切备)",在轨运行
星载路由器,遥控处置接口,温度异常,遥控指令下电，重新上电,在轨运行
星载路由器,遥控处置接口,电流异常,遥控指令下电，重新上电,在轨运行
星载路由器,遥控处置接口,电压异常,遥控指令下电，重新上电,在轨运行
星载路由器,遥控处置接口,RS422接口故障,遥控指令下电，重新上电,在轨运行
星载路由器,遥控处置接口,以太网端口异常,"1.遥控指令下电，重新上电
2.发送遥控指令B开A关(切备)",在轨运行
星载路由器,遥控处置接口,遥测遥控软件异常,遥控指令下电，重新上电,在轨运行
星载路由器,遥控处置接口,SONiC系统启动异常,"1.遥控指令软件复位；
2.如果复位3次不成功，遥控指令重装系统",在轨运行
激光通信机,激光建链,激光建链失败,"1.重新建链
2.软件重构
3.切换微波",在轨运行
激光通信机,激光建链,双星组网建链失败,激光指令重新编排，下一轨测试,在轨运行
激光通信机,激光建链,三星及以上组网建链失败,通过遥测确定失败链路，重新发送对应的建链指令,在轨运行
激光通信机,激光建链,双星建链后网络ping不通,通过遥测及日志分析原因，下一轨重新上电尝试。或入境后通过ssh星地链接登录星载智算机、星载路由器分析。,在轨运行
激光通信机,激光建链,主星广播组播数据与激光需求不匹配,几轮沟通测试后基本匹配，详见会议纪要,历史测试
激光通信机,激光建链,10星负X方向100M激光失效,解锁后测试正常,历史测试
激光通信机,激光建链,主星激光需重构版本,发射场通过上注方式重构，预计4.30,历史测试
激光通信机,激光建链,03星负X方向100M激光振镜无法控制,光学头开盖检查无异常（舱外），内窥镜检查内部线缆无异常，外力拨动光学头有遥测信息返回，发射场不具备更深入的故障解决条件,历史测试
激光通信机,激光建链,星7、星8激光对通测试，激光通信机软件新版本不通，改回旧版本通信几分钟后中断,激光通信机软件版本回退，基于回退版本进行软件更新,历史测试
激光通信机,激光建链,星5、星6激光连通测试时，路由收到异常大量的数据包,激光软件更新，严格执行载荷开关机顺序，重启路由器过程中需关闭光模块，避免路由开机过程中光口数据对路由的影响。,历史测试
激光通信机,遥控处置接口,激光功率输出异常,发送以下指令：功率输出调节指令,在轨运行
激光通信机,遥控处置接口,单粒子翻转导致基带处理器软件功能异常,发送以下指令：发送基带复位指令复位无效，发送基带重构指令,在轨运行
星间与星地网络,Corner case,在ONIE上发送指令，有可能会出现指令丢失的情况,发送完遥控指令后请判断TML002 CAN正确帧计数有没有+1，如果没有+1则再重新发送一下指令,在轨运行
星间与星地网络,主星分布式文件系统故障,应用无法读取文件,"1. 通过界面查看文件是否存在
2. 星地建链后通过ssh登录到指定节点，查看文件是否存在；
3. 查看该文件所在卷是否正常，若不正常转到相应的卷损坏处理流程",在轨运行
星间与星地网络,主星分布式文件系统故障,分布式文件系统APP卷损坏,重新创建卷,在轨运行
星间与星地网络,主星分布式文件系统故障,分布式文件系统RS卷损坏,重新创建卷,在轨运行
星间与星地网络,主星分布式文件系统故障,分布式文件系统models卷损坏,重新创建卷,在轨运行
星间与星地网络,主星分布式文件系统故障,分布式文件系统元数据丢失,按照在轨的备份元数据拷贝到指定目录进行恢复,在轨运行
星间与星地网络,主星分布式文件系统故障,主星某台智算机（NX1、G1）损坏导致的分布式文件系统损坏,无法恢复,在轨运行
星间与星地网络,从星分布式文件系统故障,从星智算机损坏导致的分布式文件系统损坏,无法恢复,在轨运行
星间与星地网络,分布式系统,09星遥测监控到分布式系统软件反复重启,待进一步观察遥测数据,历史测试
星间与星地网络,分布式系统,星2redis重启失败,无处置方式,历史测试
星间与星地网络,分布式系统软件故障,星地建链，地面查看节点处于not ready状态,"1. ping该节点，确定星地网络是否正常；
2. 网络正常的情况下，通过查看遥测数据确认系统软件状态是否正常；
3. 若遥测数据异常，则通过ssh登录到指定节点，获取分布式系统软件日志分析问题",在轨运行
星间与星地网络,分布式系统软件故障,在轨系统组件（pod形式部署）异常,星地建链后，节点处于read也状态后，通过地面管控集群执行kubectl命令获取系统组件状态，并结合日志分析系统组件异常原因。,在轨运行
星间与星地网络,卫星失联,譬如连接关系由3-1-2-4变成3-1-4，2星丢失,则需要修改4星微波和激光的后向端口IP，同时需要修改相邻星的静态路由，可以统一通过上注配置文件的方式进行修改，将修改后的config_db_4_1.json上注到/home/ini_test/config_db文件夹，config_db_4_2.json上注到\config_db文件夹，完成上注后执行遥控指令 cpu从备1恢复配置文件 或 cpu从备2恢复配置文件,在轨运行
星间与星地网络,卫星失联,星上激光出现问题，需要进行双星互换，譬如连接关系由9-10-11变成10-9-11,通过上注脚本文件调整星9，星10和星11的配置文件，从而达到互换的功能,在轨运行
星间与星地网络,双星互换,星上激光出现问题，需要进行双星互换，譬如连接关系由9-10-11变成10-9-11,通过上注脚本文件调整星9，星10和星11的配置文件，从而达到互换的功能,在轨运行
星间与星地网络,星地链路,天链-从星之江星地上传大文件前节点处于ready状态，待文件传输过程中节点处于notready，传输完成后节点依然处于notready，通过重启节点内容的edgecore或者基带网关软件可恢复成ready状态,正在开展相关代码修改和验证,历史测试
星间与星地网络,星地链路,中卫无线对接，综电-智算上下传文件失败,嘉兴模拟搭建有线对接,历史测试
星间与星地网络,星地链路,星5地面到路由通，到智算不通,正确配置后解决,历史测试
星间与星地网络,星地链路,上海02星电性环境下，测传一体机的主备网口只有一个网口通,正样星上暂时没有出现问题,历史测试
星间与星地网络,星间/星地连通异常,仅星地不通，星间可通,"先获取遥测数据查看容器状态，再查看端口状态和端口计数进行分析，若计数正常增长，表示报文发出，则由侧传一体机和地面站排查故障。
否则，通过星间链路，获取异常卫星的运行状态，譬如获取路由器arp信息，排查星地链路异常。故障情况下，重启，切主备或重装系统",在轨运行
星间与星地网络,星间/星地连通异常,仅星间不通、星地可通,"先获取遥测数据查看容器状态，再查看端口状态和端口计数进行分析。若激光或微波端口up且有计数增长，则由激光和微波处理机定位问题。
否则，通过星地链路，获取异常卫星的运行状态，譬如获取路由器路由表，ospf建链状态，排查星间链路异常
路由故障情况下，重启，切主备或重装系统",在轨运行
星间与星地网络,星间/星地连通异常,星间、星地都不通,"先获取遥测数据查看容器状态，再查看端口状态和端口计数进行分析。若测传口计数正常增长，表示报文发出，则由测传一体机和地面站排查故障。
若激光或微波端口up且有计数增长，则由激光和微波处理机定位问题
路由故障情况下，重启，切主备或重装系统",在轨运行
星间与星地网络,综合系统,主星01环境实验过程中两个微波网口没有up,确定是微波实际接口与IDS不符，在线缆上修改,历史测试
星间与星地网络,综合系统,从星AD温度采集读出的阻值异常；55摄氏度，读到的阻值是1264025590；1371668470,无处置方式,历史测试
星间与星地网络,综合系统,"从星AD温度阈值告警和阈值关机
AD电压采样，欠压和过压告警",从星增加遥测判读，现场值班人员增加判读项,历史测试
星间与星地网络,综合系统,星8星9环境试验相机图像获取指令执行失败,无处置方式,历史测试
星间与星地网络,综合系统,01星工业相机与路由不通,主星通过调试口修改工业相机的网关配置修改,历史测试
星间与星地网络,综合系统,微波激光等对通测试，路由器主的时候能通，切备就不通了,需要给微波、激光发消息告知其切换到备网口，这个消息可以通过它们各自的上位机发送，正常在卫星上是通过综电广播告知当前路由主备状态,历史测试
星间与星地网络,综合系统,上海主星平台，路由器scp免密配置好后，还一直提示需要密码,重新创建了zhisuan用户,历史测试
星间与星地网络,综合系统,主星综电zhisuan用户下scp尝试覆写cfdp下传的文件，出现权限错误,修改cfdp传输的文件权限，让zhisuan可读写,历史测试
星间与星地网络,综合系统,微波rs422链路，综电、微波对协议理解不一致，实现不同,改代码，对两方做兼容,历史测试
星间与星地网络,路由系统运行异常,sonic系统所有端口均无反应,若上电后长时间（>10分钟）仍然出现没有遥测返回且端口不通的情况，考虑是偶现的系统异常问题，重启sonic即可恢复,在轨运行
星间与星地网络,路由系统运行异常,sonic系统日志服务异常,若系统上电后，日志没有实时更新，可能是日志服务异常，只需要等待三分钟后服务会自动重启即可恢复；状态正常后会重新记录日志,在轨运行
星间与星地网络,路由系统运行异常,路由到综电/智算机/科学载荷不通,若上电后长时间（>8分钟）容器数量仍然异常，可以先尝试重启路由器，重启后依然异常，可以尝试重装,在轨运行
星间与星地网络,路由系统重装异常,重装后启动SONiC出现系统异常,"1 首次重新安装系统后需要进行配置自动重配，比常规开机需要更长的一段时间（常规8分钟以内，重装后需要10分钟以内）。等待10分钟看是否正常；
2 如果10分钟后仍是异常，查看遥测是否正常。如果能正常返回遥测，基于遥测做下一步判断；
3 如果遥测异常，尝试再次重装系统；
4 重装后仍不能解决，做Flash切换；
5 Flash切换失败或切换后仍不能解决，尝试主备切换

判断路由处于CPU
在能够收到onie下遥测的前提下，先尝试能否安装sonic（继续安装应该会安装失败），则说明当前flash下环境变量mac配置丢失，需要切换到另一个flash进行安装。
切到另一个flash之后，仍然先验证网络是否正常，正常即可执行切换指令指定下一次启动进入sonic系统，然后再执行系统安装指令。
若切换flash之后网络仍然异常，则当前系统两个flash都无法使用，只能进行主备切换",在轨运行
星间与星地网络,路由系统重装异常,重装Sonic系统出现镜像md5错误,错误的镜像执行安装指令会失败，需要通过scp重传，传输完成会重新检查校验码，校验通过再安装,在轨运行
星间与星地网络,路由系统重装异常,重装后启动SONiC出现切换flash之后无法进入系统,"执行安装指令后，系统会自动同步环境变量，此过程大约需要10分钟，如安装未完成就下电或重启，可能导致系统安装成功可以正常进入sonic，但环境变量同步异常，切换flash之后无法进入系统。sonic在线重装过程包含安装新版本、重启系统、卸载旧版本三个过程，三个过程需要在同一flash下进行，若系统重启前就切换flash进入sonic系统，也可能导致系统环境变量同步失败。此时可以尝试删除/host目录下对应的文件夹，如果异常的环境变量出现在flash0就删除master_update_env_done，出现在flash1则删除slaver_update_env_done，之后再重启系统。
若仍未同步正确的环境变量，则只能再次重装sonic才能恢复正常",在轨运行
星间与星地网络,路由系统重装异常,在线安装sonic重启后等待时间过短就执行卸载命令导致系统异常,重启后自动进入新系统，刚上电前三分钟系统满载，如果等待时间过短就执行卸载命令卸载旧版本系统，有概率会执行失败，导致系统版本状态异常，建议重启后等待三分钟查看系统状态是否正常，正常后再执行卸载命令。重启后自动进入新系统，刚上电前三分钟系统满载，如果等待时间过短就执行卸载命令卸载旧版本系统，有概率会执行失败，导致系统版本状态异常，建议重启后等待三分钟查看系统状态是否正常，正常后再执行卸载命令。重启后自动进入新系统，刚上电前三分钟系统满载，如果等待时间过短就执行卸载命令卸载旧版本系统，有概率会执行失败，导致系统版本状态异常，建议重启后等待三分钟查看系统状态是否正常，正常后再执行卸载命令。若系统卸载失败，则再次执行重启，重启后等待三分钟后再卸载，此时若系统卸载仍然失败，可尝试通过onie重装sonic,在轨运行
